timestamp_iso,timestamp_unix,source_addr,sequence,node_id,n_antennas,n_subcarriers,frequency_mhz,rssi_dbm,noise_floor_dbm,mean_amplitude,rms_amplitude,smoothed_amplitude,amplitude_count
2026-07-23T20:55:27.703+05:30,1784820327.703490,192.168.1.11:59574,158158,1,1,192,2432,-73,-97,13.956311,16.135333,14.283550,192
2026-07-23T20:55:27.735+05:30,1784820327.735708,192.168.1.11:59574,158159,1,1,192,2432,-73,-97,13.959579,16.074047,14.257470,192
2026-07-23T20:55:27.767+05:30,1784820327.767094,192.168.1.11:59574,158160,1,1,192,2432,-72,-97,13.863826,16.147755,14.225796,192
2026-07-23T20:55:27.803+05:30,1784820327.803119,192.168.1.11:59574,158161,1,1,192,2432,-71,-97,14.343768,16.832972,14.211149,192
2026-07-23T20:55:27.830+05:30,1784820327.830704,192.168.1.11:59574,158162,1,1,192,2432,-71,-97,13.927664,16.088784,14.180934,192
2026-07-23T20:55:27.862+05:30,1784820327.862554,192.168.1.11:59574,158163,1,1,64,2432,-71,-97,9.346578,11.685996,14.026344,64
2026-07-23T20:55:27.891+05:30,1784820327.891281,192.168.1.11:59574,158164,1,1,192,2432,-73,-97,13.990433,16.594270,14.007022,192
2026-07-23T20:55:27.909+05:30,1784820327.909053,192.168.1.11:59574,158165,1,1,192,2432,-73,-96,13.774808,15.937704,13.989923,192
2026-07-23T20:55:27.947+05:30,1784820327.947979,192.168.1.11:59574,158166,1,1,192,2432,-71,-96,13.692652,15.837061,13.969590,192
2026-07-23T20:55:27.992+05:30,1784820327.992057,192.168.1.11:59574,158167,1,1,192,2432,-71,-96,14.075404,16.080850,14.048910,192
2026-07-23T20:55:28.024+05:30,1784820328.024395,192.168.1.11:59574,158168,1,1,192,2432,-72,-96,13.439864,15.590963,14.041427,192
2026-07-23T20:55:28.071+05:30,1784820328.071397,192.168.1.11:59574,158169,1,1,192,2432,-73,-96,13.931971,16.542716,14.027650,192
2026-07-23T20:55:28.112+05:30,1784820328.112728,192.168.1.11:59574,158170,1,1,192,2432,-75,-96,13.818675,16.054757,14.020276,192
2026-07-23T20:55:28.148+05:30,1784820328.148879,192.168.1.11:59574,158171,1,1,192,2432,-73,-96,13.831530,15.996256,14.007558,192
2026-07-23T20:55:28.160+05:30,1784820328.160911,192.168.1.11:59574,158172,1,1,192,2432,-74,-96,13.750340,15.781549,13.999764,192
2026-07-23T20:55:28.214+05:30,1784820328.214140,192.168.1.11:59574,158173,1,1,192,2432,-73,-97,13.237948,15.293824,13.974149,192
2026-07-23T20:55:28.237+05:30,1784820328.237634,192.168.1.11:59574,158174,1,1,192,2432,-74,-97,13.780258,16.057189,13.954647,192
2026-07-23T20:55:28.278+05:30,1784820328.278104,192.168.1.11:59574,158175,1,1,192,2432,-74,-97,13.893577,15.941625,13.937542,192
2026-07-23T20:55:28.307+05:30,1784820328.307662,192.168.1.11:59574,158176,1,1,192,2432,-75,-97,14.002158,16.142110,13.913486,192
2026-07-23T20:55:28.360+05:30,1784820328.360508,192.168.1.11:59574,158177,1,1,192,2432,-75,-97,13.553554,15.718719,13.872523,192
2026-07-23T20:55:28.369+05:30,1784820328.369280,192.168.1.11:59574,158178,1,1,192,2432,-75,-96,13.451164,15.643656,13.859356,192
2026-07-23T20:55:28.416+05:30,1784820328.416071,192.168.1.11:59574,158179,1,1,192,2432,-77,-96,14.709318,17.001838,13.865758,192
